id,ra,dec
255,189.2914581,62.3830261
885,189.2761383,62.3601532
1648,189.3603973,62.3407288
2324,189.2352753,62.3271065
2360,189.4466553,62.3262367
3093,189.1894836,62.3137016
3417,189.2471466,62.3089905
4592,189.319458,62.2925835
5270,189.2786255,62.2839127
5438,189.1468353,62.2818413
6121,189.4886627,62.2742882
7687,189.0955811,62.2573738
7895,189.3582458,62.2552681
8427,189.2447052,62.2497215
8785,189.2680817,62.24617
9370,189.1483307,62.2399864
9593,189.091568,62.2375946
10345,189.152771,62.2296104
10669,189.1552277,62.2261887
10749,189.1754303,62.2253838
10954,189.251236,62.2232246
11317,189.3196869,62.2194939
11388,189.177948,62.2184334
13098,189.3165131,62.1996956
14806,189.0006866,62.1798248
15224,189.0944672,62.1746368
16433,189.1252441,62.1566391
17220,189.2254486,62.1430588
17699,189.1356049,62.1332855
18008,189.2068634,62.1272392
